"year","avg_wage","avg_food_price"
2006,18958.2343,44.621959031658044
2007,20224.5371,47.452148874845086
2008,21679.6761,50.49336748267575
2009,22801.0867,47.0587187154415
2010,22731.5706,47.889863278922114
2011,23870.8779,49.56391583603416
2012,24757.6608,52.99512070871311
2013,23283.5531,55.93781838307218
2014,24569.7299,56.43700553705105
2015,24769.3616,56.12141853032915
2016,26891.3905,55.490400425963266
2017,26552.2967,61.02732481360361
2018,29882.1437,62.213940362014256
